"Year","Lake","Focal.Host","Other.Host","AUC.Shared.Density"
"2014","CrookedW","retrocurva","retrocurva",33652341.55
"2014","CrookedW","retrocurva","pulicaria",0
"2014","CrookedW","retrocurva","parvula",0
"2014","CrookedW","retrocurva","ambigua",0
"2014","CrookedW","retrocurva","mendotae",0
"2014","CrookedW","pulicaria","ceriodaphnia",0
"2014","CrookedW","pulicaria","dentifera",0
"2014","CrookedW","pulicaria","dubia",0
"2014","CrookedW","pulicaria","retrocurva",0
"2014","CrookedW","pulicaria","pulicaria",0
"2014","CrookedW","pulicaria","parvula",0
"2014","CrookedW","pulicaria","ambigua",0
"2014","CrookedW","pulicaria","mendotae",0
"2014","CrookedW","parvula","ceriodaphnia",0
"2014","CrookedW","parvula","dentifera",0
"2014","CrookedW","parvula","dubia",0
"2014","CrookedW","parvula","retrocurva",0
"2014","CrookedW","parvula","pulicaria",0
"2014","CrookedW","parvula","parvula",0
"2014","CrookedW","parvula","ambigua",0
"2014","CrookedW","parvula","mendotae",0
"2014","CrookedW","ambigua","ceriodaphnia",0
"2014","CrookedW","ambigua","dentifera",0
"2014","CrookedW","ambigua","dubia",0
"2014","CrookedW","ambigua","retrocurva",0
"2014","CrookedW","ambigua","pulicaria",0
"2014","CrookedW","ambigua","parvula",0
"2014","CrookedW","ambigua","ambigua",0
"2014","CrookedW","ambigua","mendotae",0
"2014","CrookedW","mendotae","ceriodaphnia",0
"2014","CrookedW","mendotae","dentifera",0
"2014","CrookedW","mendotae","dubia",0
"2014","CrookedW","mendotae","retrocurva",0
"2014","CrookedW","mendotae","pulicaria",0
"2014","CrookedW","mendotae","parvula",0
"2014","CrookedW","mendotae","ambigua",0
"2014","CrookedW","mendotae","mendotae",0
"2014","Appleton","dentifera","dentifera",22201037.5
"2014","Appleton","dentifera","dubia",2560454.5
"2014","Appleton","dentifera","pulicaria",19124276.3
"2014","Appleton","dentifera","retrocurva",8572625.25
"2014","Appleton","dentifera","ceriodaphnia",27765.1
"2014","Appleton","dentifera","parvula",0
"2014","Appleton","dentifera","ambigua",0
"2014","Appleton","dentifera","mendotae",0
"2014","Appleton","dubia","dentifera",2560454.5
"2014","Appleton","dubia","dubia",2560454.5
"2014","Appleton","dubia","pulicaria",2435511
"2014","Appleton","dubia","retrocurva",2560454.5
"2014","Appleton","dubia","ceriodaphnia",27765.1
"2014","Appleton","dubia","parvula",0
"2014","Appleton","dubia","ambigua",0
"2014","Appleton","dubia","mendotae",0
"2014","Appleton","pulicaria","dentifera",19124276.3
"2014","Appleton","pulicaria","dubia",2435511
"2014","Appleton","pulicaria","pulicaria",28913015.85
"2014","Appleton","pulicaria","retrocurva",7142718
"2014","Appleton","pulicaria","ceriodaphnia",0
"2014","Appleton","pulicaria","parvula",0
"2014","Appleton","pulicaria","ambigua",0
"2014","Appleton","pulicaria","mendotae",0
"2014","Appleton","retrocurva","dentifera",8572625.25
"2014","Appleton","retrocurva","dubia",2560454.5
"2014","Appleton","retrocurva","pulicaria",7142718
"2014","Appleton","retrocurva","retrocurva",10000007.1
"2014","Appleton","retrocurva","ceriodaphnia",27765.1
"2014","Appleton","retrocurva","parvula",0
"2014","Appleton","retrocurva","ambigua",0
"2014","Appleton","retrocurva","mendotae",0
"2014","Appleton","ceriodaphnia","dentifera",27765.1
"2014","Appleton","ceriodaphnia","dubia",27765.1
"2014","Appleton","ceriodaphnia","pulicaria",0
"2014","Appleton","ceriodaphnia","retrocurva",27765.1
"2014","Appleton","ceriodaphnia","ceriodaphnia",27765.1
"2014","Appleton","ceriodaphnia","parvula",0
"2014","Appleton","ceriodaphnia","ambigua",0
"2014","Appleton","ceriodaphnia","mendotae",0
"2014","Appleton","parvula","dentifera",0
"2014","Appleton","parvula","dubia",0
"2014","Appleton","parvula","pulicaria",0
"2014","Appleton","parvula","retrocurva",0
"2014","Appleton","parvula","ceriodaphnia",0
"2014","Appleton","parvula","parvula",0
"2014","Appleton","parvula","ambigua",0
"2014","Appleton","parvula","mendotae",0
"2014","Appleton","ambigua","dentifera",0
"2014","Appleton","ambigua","dubia",0
"2014","Appleton","ambigua","pulicaria",0
"2014","Appleton","ambigua","retrocurva",0
"2014","Appleton","ambigua","ceriodaphnia",0
"2014","Appleton","ambigua","parvula",0
"2014","Appleton","ambigua","ambigua",0
"2014","Appleton","ambigua","mendotae",0
"2014","Appleton","mendotae","dentifera",0
"2014","Appleton","mendotae","dubia",0
"2014","Appleton","mendotae","pulicaria",0
"2014","Appleton","mendotae","retrocurva",0
"2014","Appleton","mendotae","ceriodaphnia",0
"2014","Appleton","mendotae","parvula",0
"2014","Appleton","mendotae","ambigua",0
"2014","Appleton","mendotae","mendotae",0
"2014","Bishop","ambigua","ambigua",455374.1
"2014","Bishop","ambigua","dentifera",455374.1
"2014","Bishop","ambigua","dubia",455374.1
"2014","Bishop","ambigua","pulicaria",274771.3
"2014","Bishop","ambigua","retrocurva",455374.1
"2014","Bishop","ambigua","ceriodaphnia",337982.8
"2014","Bishop","ambigua","parvula",0
"2014","Bishop","ambigua","mendotae",0
"2014","Bishop","dentifera","ambigua",455374.1
"2014","Bishop","dentifera","dentifera",28447954.95
"2014","Bishop","dentifera","dubia",8000000.1
"2014","Bishop","dentifera","pulicaria",469562.6
"2014","Bishop","dentifera","retrocurva",22910585.7
"2014","Bishop","dentifera","ceriodaphnia",7680721.7
"2014","Bishop","dentifera","parvula",0
"2014","Bishop","dentifera","mendotae",0
"2014","Bishop","dubia","ambigua",455374.1
"2014","Bishop","dubia","dentifera",8000000.1
"2014","Bishop","dubia","dubia",8909458.4
"2014","Bishop","dubia","pulicaria",469562.6
"2014","Bishop","dubia","retrocurva",8909458.4
"2014","Bishop","dubia","ceriodaphnia",4054501.65
"2014","Bishop","dubia","parvula",0
"2014","Bishop","dubia","mendotae",0
"2014","Bishop","pulicaria","ambigua",274771.3
"2014","Bishop","pulicaria","dentifera",469562.6
"2014","Bishop","pulicaria","dubia",469562.6
"2014","Bishop","pulicaria","pulicaria",469562.6
"2014","Bishop","pulicaria","retrocurva",469562.6
"2014","Bishop","pulicaria","ceriodaphnia",180600
"2014","Bishop","pulicaria","parvula",0
"2014","Bishop","pulicaria","mendotae",0
"2014","Bishop","retrocurva","ambigua",455374.1
"2014","Bishop","retrocurva","dentifera",22910585.7
"2014","Bishop","retrocurva","dubia",8909458.4
"2014","Bishop","retrocurva","pulicaria",469562.6
"2014","Bishop","retrocurva","retrocurva",60090624
"2014","Bishop","retrocurva","ceriodaphnia",7680721.7
"2014","Bishop","retrocurva","parvula",0
"2014","Bishop","retrocurva","mendotae",0
"2014","Bishop","ceriodaphnia","ambigua",337982.8
"2014","Bishop","ceriodaphnia","dentifera",7680721.7
"2014","Bishop","ceriodaphnia","dubia",4054501.65
"2014","Bishop","ceriodaphnia","pulicaria",180600
"2014","Bishop","ceriodaphnia","retrocurva",7680721.7
"2014","Bishop","ceriodaphnia","ceriodaphnia",7680721.7
"2014","Bishop","ceriodaphnia","parvula",0
"2014","Bishop","ceriodaphnia","mendotae",0
"2014","Bishop","parvula","ambigua",0
"2014","Bishop","parvula","dentifera",0
"2014","Bishop","parvula","dubia",0
"2014","Bishop","parvula","pulicaria",0
"2014","Bishop","parvula","retrocurva",0
"2014","Bishop","parvula","ceriodaphnia",0
"2014","Bishop","parvula","parvula",0
"2014","Bishop","parvula","mendotae",0
"2014","Bishop","mendotae","ambigua",0
"2014","Bishop","mendotae","dentifera",0
"2014","Bishop","mendotae","dubia",0
"2014","Bishop","mendotae","pulicaria",0
"2014","Bishop","mendotae","retrocurva",0
"2014","Bishop","mendotae","ceriodaphnia",0
"2014","Bishop","mendotae","parvula",0
"2014","Bishop","mendotae","mendotae",0
"2014","LittleAppleton","ceriodaphnia","ceriodaphnia",28271893.4
"2014","LittleAppleton","ceriodaphnia","dentifera",28271893.4
"2014","LittleAppleton","ceriodaphnia","pulicaria",54899.9
"2014","LittleAppleton","ceriodaphnia","retrocurva",268187.3
"2014","LittleAppleton","ceriodaphnia","dubia",82664.9
"2014","LittleAppleton","ceriodaphnia","parvula",1777601.9
"2014","LittleAppleton","ceriodaphnia","ambigua",111060.4
"2014","LittleAppleton","ceriodaphnia","mendotae",0
"2014","LittleAppleton","dentifera","ceriodaphnia",28271893.4
"2014","LittleAppleton","dentifera","dentifera",254289918.4
"2014","LittleAppleton","dentifera","pulicaria",54899.9
"2014","LittleAppleton","dentifera","retrocurva",268187.3
"2014","LittleAppleton","dentifera","dubia",82664.9
"2014","LittleAppleton","dentifera","parvula",1777601.9
"2014","LittleAppleton","dentifera","ambigua",111060.4
"2014","LittleAppleton","dentifera","mendotae",0
"2014","LittleAppleton","pulicaria","ceriodaphnia",54899.9
"2014","LittleAppleton","pulicaria","dentifera",54899.9
"2014","LittleAppleton","pulicaria","pulicaria",54899.9
"2014","LittleAppleton","pulicaria","retrocurva",0
"2014","LittleAppleton","pulicaria","dubia",0
"2014","LittleAppleton","pulicaria","parvula",0
"2014","LittleAppleton","pulicaria","ambigua",0
"2014","LittleAppleton","pulicaria","mendotae",0
"2014","LittleAppleton","retrocurva","ceriodaphnia",268187.3
"2014","LittleAppleton","retrocurva","dentifera",268187.3
"2014","LittleAppleton","retrocurva","pulicaria",0
"2014","LittleAppleton","retrocurva","retrocurva",268187.3
"2014","LittleAppleton","retrocurva","dubia",0
"2014","LittleAppleton","retrocurva","parvula",268187.3
"2014","LittleAppleton","retrocurva","ambigua",0
"2014","LittleAppleton","retrocurva","mendotae",0
"2014","LittleAppleton","dubia","ceriodaphnia",82664.9
"2014","LittleAppleton","dubia","dentifera",82664.9
"2014","LittleAppleton","dubia","pulicaria",0
"2014","LittleAppleton","dubia","retrocurva",0
"2014","LittleAppleton","dubia","dubia",82664.9
"2014","LittleAppleton","dubia","parvula",0
"2014","LittleAppleton","dubia","ambigua",35337.4
"2014","LittleAppleton","dubia","mendotae",0
"2014","LittleAppleton","parvula","ceriodaphnia",1777601.9
"2014","LittleAppleton","parvula","dentifera",1777601.9
"2014","LittleAppleton","parvula","pulicaria",0
"2014","LittleAppleton","parvula","retrocurva",268187.3
"2014","LittleAppleton","parvula","dubia",0
"2014","LittleAppleton","parvula","parvula",1777601.9
"2014","LittleAppleton","parvula","ambigua",0
"2014","LittleAppleton","parvula","mendotae",0
"2014","LittleAppleton","ambigua","ceriodaphnia",111060.4
"2014","LittleAppleton","ambigua","dentifera",111060.4
"2014","LittleAppleton","ambigua","pulicaria",0
"2014","LittleAppleton","ambigua","retrocurva",0
"2014","LittleAppleton","ambigua","dubia",35337.4
"2014","LittleAppleton","ambigua","parvula",0
"2014","LittleAppleton","ambigua","ambigua",111060.4
"2014","LittleAppleton","ambigua","mendotae",0
"2014","LittleAppleton","mendotae","ceriodaphnia",0
"2014","LittleAppleton","mendotae","dentifera",0
"2014","LittleAppleton","mendotae","pulicaria",0
"2014","LittleAppleton","mendotae","retrocurva",0
"2014","LittleAppleton","mendotae","dubia",0
"2014","LittleAppleton","mendotae","parvula",0
"2014","LittleAppleton","mendotae","ambigua",0
"2014","LittleAppleton","mendotae","mendotae",0
"2014","Whitmore","pulicaria","pulicaria",12300249.35
"2014","Whitmore","pulicaria","retrocurva",12300249.35
"2014","Whitmore","pulicaria","dentifera",1638958.85
"2014","Whitmore","pulicaria","ceriodaphnia",547285.25
"2014","Whitmore","pulicaria","dubia",0
"2014","Whitmore","pulicaria","parvula",0
"2014","Whitmore","pulicaria","ambigua",0
"2014","Whitmore","pulicaria","mendotae",213495.7
"2014","Whitmore","retrocurva","pulicaria",12300249.35
"2014","Whitmore","retrocurva","retrocurva",49019752.65
"2014","Whitmore","retrocurva","dentifera",2693671.95
"2014","Whitmore","retrocurva","ceriodaphnia",691766.65
"2014","Whitmore","retrocurva","dubia",0
"2014","Whitmore","retrocurva","parvula",0
"2014","Whitmore","retrocurva","ambigua",0
"2014","Whitmore","retrocurva","mendotae",610818.5
"2014","Whitmore","dentifera","pulicaria",1638958.85
"2014","Whitmore","dentifera","retrocurva",2693671.95
"2014","Whitmore","dentifera","dentifera",2783971.95
"2014","Whitmore","dentifera","ceriodaphnia",637586.65
"2014","Whitmore","dentifera","dubia",0
"2014","Whitmore","dentifera","parvula",0
"2014","Whitmore","dentifera","ambigua",0
"2014","Whitmore","dentifera","mendotae",610818.5
"2014","Whitmore","ceriodaphnia","pulicaria",547285.25
"2014","Whitmore","ceriodaphnia","retrocurva",691766.65
"2014","Whitmore","ceriodaphnia","dentifera",637586.65
"2014","Whitmore","ceriodaphnia","ceriodaphnia",691766.65
"2014","Whitmore","ceriodaphnia","dubia",0
"2014","Whitmore","ceriodaphnia","parvula",0
"2014","Whitmore","ceriodaphnia","ambigua",0
"2014","Whitmore","ceriodaphnia","mendotae",344431.4
"2014","Whitmore","dubia","pulicaria",0
"2014","Whitmore","dubia","retrocurva",0
"2014","Whitmore","dubia","dentifera",0
"2014","Whitmore","dubia","ceriodaphnia",0
"2014","Whitmore","dubia","dubia",0
"2014","Whitmore","dubia","parvula",0
"2014","Whitmore","dubia","ambigua",0
"2014","Whitmore","dubia","mendotae",0
"2014","Whitmore","parvula","pulicaria",0
"2014","Whitmore","parvula","retrocurva",0
"2014","Whitmore","parvula","dentifera",0
"2014","Whitmore","parvula","ceriodaphnia",0
"2014","Whitmore","parvula","dubia",0
"2014","Whitmore","parvula","parvula",0
"2014","Whitmore","parvula","ambigua",0
"2014","Whitmore","parvula","mendotae",0
"2014","Whitmore","ambigua","pulicaria",0
"2014","Whitmore","ambigua","retrocurva",0
"2014","Whitmore","ambigua","dentifera",0
"2014","Whitmore","ambigua","ceriodaphnia",0
"2014","Whitmore","ambigua","dubia",0
"2014","Whitmore","ambigua","parvula",0
"2014","Whitmore","ambigua","ambigua",0
"2014","Whitmore","ambigua","mendotae",0
"2014","Whitmore","mendotae","pulicaria",213495.7
"2014","Whitmore","mendotae","retrocurva",610818.5
"2014","Whitmore","mendotae","dentifera",610818.5
"2014","Whitmore","mendotae","ceriodaphnia",344431.4
"2014","Whitmore","mendotae","dubia",0
"2014","Whitmore","mendotae","parvula",0
"2014","Whitmore","mendotae","ambigua",0
"2014","Whitmore","mendotae","mendotae",610818.5
"2014","Woodland","ambigua","ambigua",265097.25
"2014","Woodland","ambigua","ceriodaphnia",265097.25
"2014","Woodland","ambigua","dentifera",265097.25
"2014","Woodland","ambigua","dubia",0
"2014","Woodland","ambigua","pulicaria",59985
"2014","Woodland","ambigua","retrocurva",265097.25
"2014","Woodland","ambigua","parvula",236072.25
"2014","Woodland","ambigua","mendotae",75465
"2014","Woodland","ceriodaphnia","ambigua",265097.25
"2014","Woodland","ceriodaphnia","ceriodaphnia",27285657.1
"2014","Woodland","ceriodaphnia","dentifera",2000808.35
"2014","Woodland","ceriodaphnia","dubia",0
"2014","Woodland","ceriodaphnia","pulicaria",59985
"2014","Woodland","ceriodaphnia","retrocurva",25335161.9
"2014","Woodland","ceriodaphnia","parvula",1219059.85
"2014","Woodland","ceriodaphnia","mendotae",253485
"2014","Woodland","dentifera","ambigua",265097.25
"2014","Woodland","dentifera","ceriodaphnia",2000808.35
"2014","Woodland","dentifera","dentifera",2000808.35
"2014","Woodland","dentifera","dubia",0
"2014","Woodland","dentifera","pulicaria",59985
"2014","Woodland","dentifera","retrocurva",2000808.35
"2014","Woodland","dentifera","parvula",907523.45
"2014","Woodland","dentifera","mendotae",253485
"2014","Woodland","dubia","ambigua",0
"2014","Woodland","dubia","ceriodaphnia",0
"2014","Woodland","dubia","dentifera",0
"2014","Woodland","dubia","dubia",0
"2014","Woodland","dubia","pulicaria",0
"2014","Woodland","dubia","retrocurva",0
"2014","Woodland","dubia","parvula",0
"2014","Woodland","dubia","mendotae",0
"2014","Woodland","pulicaria","ambigua",59985
"2014","Woodland","pulicaria","ceriodaphnia",59985
"2014","Woodland","pulicaria","dentifera",59985
"2014","Woodland","pulicaria","dubia",0
"2014","Woodland","pulicaria","pulicaria",59985
"2014","Woodland","pulicaria","retrocurva",59985
"2014","Woodland","pulicaria","parvula",59985
"2014","Woodland","pulicaria","mendotae",0
"2014","Woodland","retrocurva","ambigua",265097.25
"2014","Woodland","retrocurva","ceriodaphnia",25335161.9
"2014","Woodland","retrocurva","dentifera",2000808.35
"2014","Woodland","retrocurva","dubia",0
"2014","Woodland","retrocurva","pulicaria",59985
"2014","Woodland","retrocurva","retrocurva",47415625.9
"2014","Woodland","retrocurva","parvula",1219059.85
"2014","Woodland","retrocurva","mendotae",253485
"2014","Woodland","parvula","ambigua",236072.25
"2014","Woodland","parvula","ceriodaphnia",1219059.85
"2014","Woodland","parvula","dentifera",907523.45
"2014","Woodland","parvula","dubia",0
"2014","Woodland","parvula","pulicaria",59985
"2014","Woodland","parvula","retrocurva",1219059.85
"2014","Woodland","parvula","parvula",1219059.85
"2014","Woodland","parvula","mendotae",253485
"2014","Woodland","mendotae","ambigua",75465
"2014","Woodland","mendotae","ceriodaphnia",253485
"2014","Woodland","mendotae","dentifera",253485
"2014","Woodland","mendotae","dubia",0
"2014","Woodland","mendotae","pulicaria",0
"2014","Woodland","mendotae","retrocurva",253485
"2014","Woodland","mendotae","parvula",253485
"2014","Woodland","mendotae","mendotae",253485
"2014","Bruin","dentifera","dentifera",11565775.05
"2014","Bruin","dentifera","dubia",11095345.55
"2014","Bruin","dentifera","pulicaria",7054564.55
"2014","Bruin","dentifera","retrocurva",9372640.3
"2014","Bruin","dentifera","ceriodaphnia",136301.4
"2014","Bruin","dentifera","parvula",0
"2014","Bruin","dentifera","ambigua",0
"2014","Bruin","dentifera","mendotae",0
"2014","Bruin","dubia","dentifera",11095345.55
"2014","Bruin","dubia","dubia",13849145.6
