"","Year","Lake","Parasite.Species","Focal.Host","Other.Host","AUC.prev"
"65","2014","Walsh","metsch","ceriodaphnia","ceriodaphnia",0
"66","2014","Walsh","metsch","ceriodaphnia","pulicaria",0
"67","2014","Walsh","metsch","ceriodaphnia","retrocurva",0
"68","2014","Walsh","metsch","ceriodaphnia","dubia",0
"69","2014","Walsh","metsch","ceriodaphnia","parvula",0
"70","2014","Walsh","metsch","ceriodaphnia","ambigua",0
"71","2014","Walsh","metsch","ceriodaphnia","mendotae",0
"72","2014","Walsh","metsch","ceriodaphnia","dentifera",0
"73","2014","Walsh","metsch","pulicaria","ceriodaphnia",0
"74","2014","Walsh","metsch","pulicaria","pulicaria",0
"75","2014","Walsh","metsch","pulicaria","retrocurva",0
"76","2014","Walsh","metsch","pulicaria","dubia",0
"77","2014","Walsh","metsch","pulicaria","parvula",0
"78","2014","Walsh","metsch","pulicaria","ambigua",0
"79","2014","Walsh","metsch","pulicaria","mendotae",0
"80","2014","Walsh","metsch","pulicaria","dentifera",0
"81","2014","Walsh","metsch","retrocurva","ceriodaphnia",0
"82","2014","Walsh","metsch","retrocurva","pulicaria",0
"83","2014","Walsh","metsch","retrocurva","retrocurva",0
"84","2014","Walsh","metsch","retrocurva","dubia",0
"85","2014","Walsh","metsch","retrocurva","parvula",0
"86","2014","Walsh","metsch","retrocurva","ambigua",0
"87","2014","Walsh","metsch","retrocurva","mendotae",0
"88","2014","Walsh","metsch","retrocurva","dentifera",0
"89","2014","Walsh","metsch","dubia","ceriodaphnia",0
"90","2014","Walsh","metsch","dubia","pulicaria",0
"91","2014","Walsh","metsch","dubia","retrocurva",0
"92","2014","Walsh","metsch","dubia","dubia",0
"93","2014","Walsh","metsch","dubia","parvula",0
"94","2014","Walsh","metsch","dubia","ambigua",0
"95","2014","Walsh","metsch","dubia","mendotae",0
"96","2014","Walsh","metsch","dubia","dentifera",0
"97","2014","Walsh","metsch","parvula","ceriodaphnia",0
"98","2014","Walsh","metsch","parvula","pulicaria",0
"99","2014","Walsh","metsch","parvula","retrocurva",0
"100","2014","Walsh","metsch","parvula","dubia",0
"101","2014","Walsh","metsch","parvula","parvula",0
"102","2014","Walsh","metsch","parvula","ambigua",0
"103","2014","Walsh","metsch","parvula","mendotae",0
"104","2014","Walsh","metsch","parvula","dentifera",0
"105","2014","Walsh","metsch","ambigua","ceriodaphnia",0
"106","2014","Walsh","metsch","ambigua","pulicaria",0
"107","2014","Walsh","metsch","ambigua","retrocurva",0
"108","2014","Walsh","metsch","ambigua","dubia",0
"109","2014","Walsh","metsch","ambigua","parvula",0
"110","2014","Walsh","metsch","ambigua","ambigua",0
"111","2014","Walsh","metsch","ambigua","mendotae",0
"112","2014","Walsh","metsch","ambigua","dentifera",0
"113","2014","Walsh","metsch","mendotae","ceriodaphnia",0
"114","2014","Walsh","metsch","mendotae","pulicaria",0
"115","2014","Walsh","metsch","mendotae","retrocurva",0
"116","2014","Walsh","metsch","mendotae","dubia",0
"117","2014","Walsh","metsch","mendotae","parvula",0
"118","2014","Walsh","metsch","mendotae","ambigua",0
"119","2014","Walsh","metsch","mendotae","mendotae",0
"120","2014","Walsh","metsch","mendotae","dentifera",0
"121","2014","Walsh","metsch","dentifera","ceriodaphnia",0
"122","2014","Walsh","metsch","dentifera","pulicaria",0
"123","2014","Walsh","metsch","dentifera","retrocurva",0
"124","2014","Walsh","metsch","dentifera","dubia",0
"125","2014","Walsh","metsch","dentifera","parvula",0
"126","2014","Walsh","metsch","dentifera","ambigua",0
"127","2014","Walsh","metsch","dentifera","mendotae",0
"128","2014","Walsh","metsch","dentifera","dentifera",75008.0513052131
"129","2014","Walsh","scarlet","ceriodaphnia","ceriodaphnia",0
"130","2014","Walsh","scarlet","ceriodaphnia","pulicaria",0
"131","2014","Walsh","scarlet","ceriodaphnia","retrocurva",0
"132","2014","Walsh","scarlet","ceriodaphnia","dubia",0
"133","2014","Walsh","scarlet","ceriodaphnia","parvula",0
"134","2014","Walsh","scarlet","ceriodaphnia","ambigua",0
"135","2014","Walsh","scarlet","ceriodaphnia","mendotae",0
"136","2014","Walsh","scarlet","ceriodaphnia","dentifera",0
"137","2014","Walsh","scarlet","pulicaria","ceriodaphnia",0
"138","2014","Walsh","scarlet","pulicaria","pulicaria",0
"139","2014","Walsh","scarlet","pulicaria","retrocurva",0
"140","2014","Walsh","scarlet","pulicaria","dubia",0
"141","2014","Walsh","scarlet","pulicaria","parvula",0
"142","2014","Walsh","scarlet","pulicaria","ambigua",0
"143","2014","Walsh","scarlet","pulicaria","mendotae",0
"144","2014","Walsh","scarlet","pulicaria","dentifera",0
"145","2014","Walsh","scarlet","retrocurva","ceriodaphnia",0
"146","2014","Walsh","scarlet","retrocurva","pulicaria",0
"147","2014","Walsh","scarlet","retrocurva","retrocurva",0
"148","2014","Walsh","scarlet","retrocurva","dubia",0
"149","2014","Walsh","scarlet","retrocurva","parvula",0
"150","2014","Walsh","scarlet","retrocurva","ambigua",0
"151","2014","Walsh","scarlet","retrocurva","mendotae",0
"152","2014","Walsh","scarlet","retrocurva","dentifera",0
"153","2014","Walsh","scarlet","dubia","ceriodaphnia",0
"154","2014","Walsh","scarlet","dubia","pulicaria",0
"155","2014","Walsh","scarlet","dubia","retrocurva",0
"156","2014","Walsh","scarlet","dubia","dubia",0
"157","2014","Walsh","scarlet","dubia","parvula",0
"158","2014","Walsh","scarlet","dubia","ambigua",0
"159","2014","Walsh","scarlet","dubia","mendotae",0
"160","2014","Walsh","scarlet","dubia","dentifera",0
"161","2014","Walsh","scarlet","parvula","ceriodaphnia",0
"162","2014","Walsh","scarlet","parvula","pulicaria",0
"163","2014","Walsh","scarlet","parvula","retrocurva",0
"164","2014","Walsh","scarlet","parvula","dubia",0
"165","2014","Walsh","scarlet","parvula","parvula",0
"166","2014","Walsh","scarlet","parvula","ambigua",0
"167","2014","Walsh","scarlet","parvula","mendotae",0
"168","2014","Walsh","scarlet","parvula","dentifera",0
"169","2014","Walsh","scarlet","ambigua","ceriodaphnia",0
"170","2014","Walsh","scarlet","ambigua","pulicaria",0
"171","2014","Walsh","scarlet","ambigua","retrocurva",0
"172","2014","Walsh","scarlet","ambigua","dubia",0
"173","2014","Walsh","scarlet","ambigua","parvula",0
"174","2014","Walsh","scarlet","ambigua","ambigua",0
"175","2014","Walsh","scarlet","ambigua","mendotae",0
"176","2014","Walsh","scarlet","ambigua","dentifera",0
"177","2014","Walsh","scarlet","mendotae","ceriodaphnia",0
"178","2014","Walsh","scarlet","mendotae","pulicaria",0
"179","2014","Walsh","scarlet","mendotae","retrocurva",0
"180","2014","Walsh","scarlet","mendotae","dubia",0
"181","2014","Walsh","scarlet","mendotae","parvula",0
"182","2014","Walsh","scarlet","mendotae","ambigua",0
"183","2014","Walsh","scarlet","mendotae","mendotae",0
"184","2014","Walsh","scarlet","mendotae","dentifera",0
"185","2014","Walsh","scarlet","dentifera","ceriodaphnia",0
"186","2014","Walsh","scarlet","dentifera","pulicaria",0
"187","2014","Walsh","scarlet","dentifera","retrocurva",0
"188","2014","Walsh","scarlet","dentifera","dubia",0
"189","2014","Walsh","scarlet","dentifera","parvula",0
"190","2014","Walsh","scarlet","dentifera","ambigua",0
"191","2014","Walsh","scarlet","dentifera","mendotae",0
"192","2014","Walsh","scarlet","dentifera","dentifera",100969.743635602
"193","2014","Walsh","brood","ceriodaphnia","ceriodaphnia",83339.5466634564
"194","2014","Walsh","brood","ceriodaphnia","pulicaria",0
"195","2014","Walsh","brood","ceriodaphnia","retrocurva",0
"196","2014","Walsh","brood","ceriodaphnia","dubia",0
"197","2014","Walsh","brood","ceriodaphnia","parvula",0
"198","2014","Walsh","brood","ceriodaphnia","ambigua",0
"199","2014","Walsh","brood","ceriodaphnia","mendotae",0
"200","2014","Walsh","brood","ceriodaphnia","dentifera",25864.4154167882
"201","2014","Walsh","brood","pulicaria","ceriodaphnia",0
"202","2014","Walsh","brood","pulicaria","pulicaria",0
"203","2014","Walsh","brood","pulicaria","retrocurva",0
"204","2014","Walsh","brood","pulicaria","dubia",0
"205","2014","Walsh","brood","pulicaria","parvula",0
"206","2014","Walsh","brood","pulicaria","ambigua",0
"207","2014","Walsh","brood","pulicaria","mendotae",0
"208","2014","Walsh","brood","pulicaria","dentifera",0
"209","2014","Walsh","brood","retrocurva","ceriodaphnia",0
"210","2014","Walsh","brood","retrocurva","pulicaria",0
"211","2014","Walsh","brood","retrocurva","retrocurva",0
"212","2014","Walsh","brood","retrocurva","dubia",0
"213","2014","Walsh","brood","retrocurva","parvula",0
"214","2014","Walsh","brood","retrocurva","ambigua",0
"215","2014","Walsh","brood","retrocurva","mendotae",0
"216","2014","Walsh","brood","retrocurva","dentifera",0
"217","2014","Walsh","brood","dubia","ceriodaphnia",0
"218","2014","Walsh","brood","dubia","pulicaria",0
"219","2014","Walsh","brood","dubia","retrocurva",0
"220","2014","Walsh","brood","dubia","dubia",0
"221","2014","Walsh","brood","dubia","parvula",0
"222","2014","Walsh","brood","dubia","ambigua",0
"223","2014","Walsh","brood","dubia","mendotae",0
"224","2014","Walsh","brood","dubia","dentifera",0
"225","2014","Walsh","brood","parvula","ceriodaphnia",0
"226","2014","Walsh","brood","parvula","pulicaria",0
"227","2014","Walsh","brood","parvula","retrocurva",0
"228","2014","Walsh","brood","parvula","dubia",0
"229","2014","Walsh","brood","parvula","parvula",0
"230","2014","Walsh","brood","parvula","ambigua",0
"231","2014","Walsh","brood","parvula","mendotae",0
"232","2014","Walsh","brood","parvula","dentifera",0
"233","2014","Walsh","brood","ambigua","ceriodaphnia",0
"234","2014","Walsh","brood","ambigua","pulicaria",0
"235","2014","Walsh","brood","ambigua","retrocurva",0
"236","2014","Walsh","brood","ambigua","dubia",0
"237","2014","Walsh","brood","ambigua","parvula",0
"238","2014","Walsh","brood","ambigua","ambigua",0
"239","2014","Walsh","brood","ambigua","mendotae",0
"240","2014","Walsh","brood","ambigua","dentifera",0
"241","2014","Walsh","brood","mendotae","ceriodaphnia",0
"242","2014","Walsh","brood","mendotae","pulicaria",0
"243","2014","Walsh","brood","mendotae","retrocurva",0
"244","2014","Walsh","brood","mendotae","dubia",0
"245","2014","Walsh","brood","mendotae","parvula",0
"246","2014","Walsh","brood","mendotae","ambigua",0
"247","2014","Walsh","brood","mendotae","mendotae",0
"248","2014","Walsh","brood","mendotae","dentifera",0
"249","2014","Walsh","brood","dentifera","ceriodaphnia",25864.4154167882
"250","2014","Walsh","brood","dentifera","pulicaria",0
"251","2014","Walsh","brood","dentifera","retrocurva",0
"252","2014","Walsh","brood","dentifera","dubia",0
"253","2014","Walsh","brood","dentifera","parvula",0
"254","2014","Walsh","brood","dentifera","ambigua",0
"255","2014","Walsh","brood","dentifera","mendotae",0
"256","2014","Walsh","brood","dentifera","dentifera",61216.9133825078
"257","2014","Walsh","larssonia","ceriodaphnia","ceriodaphnia",0
"258","2014","Walsh","larssonia","ceriodaphnia","pulicaria",0
"259","2014","Walsh","larssonia","ceriodaphnia","retrocurva",0
"260","2014","Walsh","larssonia","ceriodaphnia","dubia",0
"261","2014","Walsh","larssonia","ceriodaphnia","parvula",0
"262","2014","Walsh","larssonia","ceriodaphnia","ambigua",0
"263","2014","Walsh","larssonia","ceriodaphnia","mendotae",0
"264","2014","Walsh","larssonia","ceriodaphnia","dentifera",0
"265","2014","Walsh","larssonia","pulicaria","ceriodaphnia",0
"266","2014","Walsh","larssonia","pulicaria","pulicaria",0
"267","2014","Walsh","larssonia","pulicaria","retrocurva",0
"268","2014","Walsh","larssonia","pulicaria","dubia",0
"269","2014","Walsh","larssonia","pulicaria","parvula",0
"270","2014","Walsh","larssonia","pulicaria","ambigua",0
"271","2014","Walsh","larssonia","pulicaria","mendotae",0
"272","2014","Walsh","larssonia","pulicaria","dentifera",0
"273","2014","Walsh","larssonia","retrocurva","ceriodaphnia",0
"274","2014","Walsh","larssonia","retrocurva","pulicaria",0
"275","2014","Walsh","larssonia","retrocurva","retrocurva",0
"276","2014","Walsh","larssonia","retrocurva","dubia",0
"277","2014","Walsh","larssonia","retrocurva","parvula",0
"278","2014","Walsh","larssonia","retrocurva","ambigua",0
"279","2014","Walsh","larssonia","retrocurva","mendotae",0
"280","2014","Walsh","larssonia","retrocurva","dentifera",0
"281","2014","Walsh","larssonia","dubia","ceriodaphnia",0
"282","2014","Walsh","larssonia","dubia","pulicaria",0
"283","2014","Walsh","larssonia","dubia","retrocurva",0
"284","2014","Walsh","larssonia","dubia","dubia",0
"285","2014","Walsh","larssonia","dubia","parvula",0
"286","2014","Walsh","larssonia","dubia","ambigua",0
"287","2014","Walsh","larssonia","dubia","mendotae",0
"288","2014","Walsh","larssonia","dubia","dentifera",0
"289","2014","Walsh","larssonia","parvula","ceriodaphnia",0
"290","2014","Walsh","larssonia","parvula","pulicaria",0
"291","2014","Walsh","larssonia","parvula","retrocurva",0
"292","2014","Walsh","larssonia","parvula","dubia",0
"293","2014","Walsh","larssonia","parvula","parvula",0
"294","2014","Walsh","larssonia","parvula","ambigua",0
"295","2014","Walsh","larssonia","parvula","mendotae",0
"296","2014","Walsh","larssonia","parvula","dentifera",0
"297","2014","Walsh","larssonia","ambigua","ceriodaphnia",0
"298","2014","Walsh","larssonia","ambigua","pulicaria",0
"299","2014","Walsh","larssonia","ambigua","retrocurva",0
"300","2014","Walsh","larssonia","ambigua","dubia",0
"301","2014","Walsh","larssonia","ambigua","parvula",0
"302","2014","Walsh","larssonia","ambigua","ambigua",0
"303","2014","Walsh","larssonia","ambigua","mendotae",0
"304","2014","Walsh","larssonia","ambigua","dentifera",0
"305","2014","Walsh","larssonia","mendotae","ceriodaphnia",0
"306","2014","Walsh","larssonia","mendotae","pulicaria",0
"307","2014","Walsh","larssonia","mendotae","retrocurva",0
"308","2014","Walsh","larssonia","mendotae","dubia",0
"309","2014","Walsh","larssonia","mendotae","parvula",0
"310","2014","Walsh","larssonia","mendotae","ambigua",0
"311","2014","Walsh","larssonia","mendotae","mendotae",0
"312","2014","Walsh","larssonia","mendotae","dentifera",0
"313","2014","Walsh","larssonia","dentifera","ceriodaphnia",0
"314","2014","Walsh","larssonia","dentifera","pulicaria",0
"315","2014","Walsh","larssonia","dentifera","retrocurva",0
"316","2014","Walsh","larssonia","dentifera","dubia",0
"317","2014","Walsh","larssonia","dentifera","parvula",0
"318","2014","Walsh","larssonia","dentifera","ambigua",0
"319","2014","Walsh","larssonia","dentifera","mendotae",0
"320","2014","Walsh","larssonia","dentifera","dentifera",0
"321","2014","Walsh","spider","ceriodaphnia","ceriodaphnia",0
"322","2014","Walsh","spider","ceriodaphnia","pulicaria",0
"323","2014","Walsh","spider","ceriodaphnia","retrocurva",0
"324","2014","Walsh","spider","ceriodaphnia","dubia",0
"325","2014","Walsh","spider","ceriodaphnia","parvula",0
"326","2014","Walsh","spider","ceriodaphnia","ambigua",0
"327","2014","Walsh","spider","ceriodaphnia","mendotae",0
"328","2014","Walsh","spider","ceriodaphnia","dentifera",0
"329","2014","Walsh","spider","pulicaria","ceriodaphnia",0
"330","2014","Walsh","spider","pulicaria","pulicaria",0
"331","2014","Walsh","spider","pulicaria","retrocurva",0
"332","2014","Walsh","spider","pulicaria","dubia",0
"333","2014","Walsh","spider","pulicaria","parvula",0
"334","2014","Walsh","spider","pulicaria","ambigua",0
"335","2014","Walsh","spider","pulicaria","mendotae",0
"336","2014","Walsh","spider","pulicaria","dentifera",0
"337","2014","Walsh","spider","retrocurva","ceriodaphnia",0
"338","2014","Walsh","spider","retrocurva","pulicaria",0
"339","2014","Walsh","spider","retrocurva","retrocurva",0
"340","2014","Walsh","spider","retrocurva","dubia",0
"341","2014","Walsh","spider","retrocurva","parvula",0
"342","2014","Walsh","spider","retrocurva","ambigua",0
"343","2014","Walsh","spider","retrocurva","mendotae",0
"344","2014","Walsh","spider","retrocurva","dentifera",0
"345","2014","Walsh","spider","dubia","ceriodaphnia",0
"346","2014","Walsh","spider","dubia","pulicaria",0
"347","2014","Walsh","spider","dubia","retrocurva",0
"348","2014","Walsh","spider","dubia","dubia",0
"349","2014","Walsh","spider","dubia","parvula",0
"350","2014","Walsh","spider","dubia","ambigua",0
"351","2014","Walsh","spider","dubia","mendotae",0
"352","2014","Walsh","spider","dubia","dentifera",0
"353","2014","Walsh","spider","parvula","ceriodaphnia",0
"354","2014","Walsh","spider","parvula","pulicaria",0
"355","2014","Walsh","spider","parvula","retrocurva",0
"356","2014","Walsh","spider","parvula","dubia",0
"357","2014","Walsh","spider","parvula","parvula",0
"358","2014","Walsh","spider","parvula","ambigua",0
"359","2014","Walsh","spider","parvula","mendotae",0
"360","2014","Walsh","spider","parvula","dentifera",0
"361","2014","Walsh","spider","ambigua","ceriodaphnia",0
"362","2014","Walsh","spider","ambigua","pulicaria",0
"363","2014","Walsh","spider","ambigua","retrocurva",0
"364","2014","Walsh","spider","ambigua","dubia",0
"365","2014","Walsh","spider","ambigua","parvula",0
"366","2014","Walsh","spider","ambigua","ambigua",0
"367","2014","Walsh","spider","ambigua","mendotae",0
"368","2014","Walsh","spider","ambigua","dentifera",0
"369","2014","Walsh","spider","mendotae","ceriodaphnia",0
"370","2014","Walsh","spider","mendotae","pulicaria",0
"371","2014","Walsh","spider","mendotae","retrocurva",0
"372","2014","Walsh","spider","mendotae","dubia",0
"373","2014","Walsh","spider","mendotae","parvula",0
"374","2014","Walsh","spider","mendotae","ambigua",0
"375","2014","Walsh","spider","mendotae","mendotae",0
"376","2014","Walsh","spider","mendotae","dentifera",0
"377","2014","Walsh","spider","dentifera","ceriodaphnia",0
"378","2014","Walsh","spider","dentifera","pulicaria",0
"379","2014","Walsh","spider","dentifera","retrocurva",0
"380","2014","Walsh","spider","dentifera","dubia",0
"381","2014","Walsh","spider","dentifera","parvula",0
"382","2014","Walsh","spider","dentifera","ambigua",0
"383","2014","Walsh","spider","dentifera","mendotae",0
"384","2014","Walsh","spider","dentifera","dentifera",27582.2758454106
"385","2014","Walsh","gurleya","ceriodaphnia","ceriodaphnia",0
"386","2014","Walsh","gurleya","ceriodaphnia","pulicaria",0
"387","2014","Walsh","gurleya","ceriodaphnia","retrocurva",0
"388","2014","Walsh","gurleya","ceriodaphnia","dubia",0
"389","2014","Walsh","gurleya","ceriodaphnia","parvula",0
"390","2014","Walsh","gurleya","ceriodaphnia","ambigua",0
"391","2014","Walsh","gurleya","ceriodaphnia","mendotae",0
"392","2014","Walsh","gurleya","ceriodaphnia","dentifera",0
"393","2014","Walsh","gurleya","pulicaria","ceriodaphnia",0
"394","2014","Walsh","gurleya","pulicaria","pulicaria",0
"395","2014","Walsh","gurleya","pulicaria","retrocurva",0
"396","2014","Walsh","gurleya","pulicaria","dubia",0
"397","2014","Walsh","gurleya","pulicaria","parvula",0
"398","2014","Walsh","gurleya","pulicaria","ambigua",0
"399","2014","Walsh","gurleya","pulicaria","mendotae",0
"400","2014","Walsh","gurleya","pulicaria","dentifera",0
"401","2014","Walsh","gurleya","retrocurva","ceriodaphnia",0
"402","2014","Walsh","gurleya","retrocurva","pulicaria",0
"403","2014","Walsh","gurleya","retrocurva","retrocurva",0
"404","2014","Walsh","gurleya","retrocurva","dubia",0
"405","2014","Walsh","gurleya","retrocurva","parvula",0
"406","2014","Walsh","gurleya","retrocurva","ambigua",0
"407","2014","Walsh","gurleya","retrocurva","mendotae",0
"408","2014","Walsh","gurleya","retrocurva","dentifera",0
"409","2014","Walsh","gurleya","dubia","ceriodaphnia",0
"410","2014","Walsh","gurleya","dubia","pulicaria",0
"411","2014","Walsh","gurleya","dubia","retrocurva",0
"412","2014","Walsh","gurleya","dubia","dubia",0
"413","2014","Walsh","gurleya","dubia","parvula",0
"414","2014","Walsh","gurleya","dubia","ambigua",0
"415","2014","Walsh","gurleya","dubia","mendotae",0
"416","2014","Walsh","gurleya","dubia","dentifera",0
"417","2014","Walsh","gurleya","parvula","ceriodaphnia",0
"418","2014","Walsh","gurleya","parvula","pulicaria",0
"419","2014","Walsh","gurleya","parvula","retrocurva",0
"420","2014","Walsh","gurleya","parvula","dubia",0
"421","2014","Walsh","gurleya","parvula","parvula",0
"422","2014","Walsh","gurleya","parvula","ambigua",0
"423","2014","Walsh","gurleya","parvula","mendotae",0
"424","2014","Walsh","gurleya","parvula","dentifera",0
"425","2014","Walsh","gurleya","ambigua","ceriodaphnia",0
"426","2014","Walsh","gurleya","ambigua","pulicaria",0
"427","2014","Walsh","gurleya","ambigua","retrocurva",0
"428","2014","Walsh","gurleya","ambigua","dubia",0
"429","2014","Walsh","gurleya","ambigua","parvula",0
"430","2014","Walsh","gurleya","ambigua","ambigua",0
"431","2014","Walsh","gurleya","ambigua","mendotae",0
"432","2014","Walsh","gurleya","ambigua","dentifera",0
"433","2014","Walsh","gurleya","mendotae","ceriodaphnia",0
"434","2014","Walsh","gurleya","mendotae","pulicaria",0
"435","2014","Walsh","gurleya","mendotae","retrocurva",0
"436","2014","Walsh","gurleya","mendotae","dubia",0
"437","2014","Walsh","gurleya","mendotae","parvula",0
"438","2014","Walsh","gurleya","mendotae","ambigua",0
"439","2014","Walsh","gurleya","mendotae","mendotae",0
"440","2014","Walsh","gurleya","mendotae","dentifera",0
"441","2014","Walsh","gurleya","dentifera","ceriodaphnia",0
"442","2014","Walsh","gurleya","dentifera","pulicaria",0
"443","2014","Walsh","gurleya","dentifera","retrocurva",0
"444","2014","Walsh","gurleya","dentifera","dubia",0
"445","2014","Walsh","gurleya","dentifera","parvula",0
"446","2014","Walsh","gurleya","dentifera","ambigua",0
"447","2014","Walsh","gurleya","dentifera","mendotae",0
"448","2014","Walsh","gurleya","dentifera","dentifera",0
"449","2014","Mill","pasteuria","pulicaria","pulicaria",0
"450","2014","Mill","pasteuria","pulicaria","dubia",0
"451","2014","Mill","pasteuria","pulicaria","parvula",0
"452","2014","Mill","pasteuria","pulicaria","ambigua",0
"453","2014","Mill","pasteuria","pulicaria","mendotae",0
"454","2014","Mill","pasteuria","pulicaria","ceriodaphnia",0
"455","2014","Mill","pasteuria","pulicaria","dentifera",0
"456","2014","Mill","pasteuria","pulicaria","retrocurva",0
"457","2014","Mill","pasteuria","dubia","pulicaria",0
"458","2014","Mill","pasteuria","dubia","dubia",0
"459","2014","Mill","pasteuria","dubia","parvula",0
"460","2014","Mill","pasteuria","dubia","ambigua",0
"461","2014","Mill","pasteuria","dubia","mendotae",0
"462","2014","Mill","pasteuria","dubia","ceriodaphnia",0
"463","2014","Mill","pasteuria","dubia","dentifera",0
"464","2014","Mill","pasteuria","dubia","retrocurva",0
"465","2014","Mill","pasteuria","parvula","pulicaria",0
"466","2014","Mill","pasteuria","parvula","dubia",0
"467","2014","Mill","pasteuria","parvula","parvula",88932.2542600896
"468","2014","Mill","pasteuria","parvula","ambigua",0
"469","2014","Mill","pasteuria","parvula","mendotae",0
"470","2014","Mill","pasteuria","parvula","ceriodaphnia",0
"471","2014","Mill","pasteuria","parvula","dentifera",16258.2889194688
"472","2014","Mill","pasteuria","parvula","retrocurva",223750.588020866
"473","2014","Mill","pasteuria","ambigua","pulicaria",0
"474","2014","Mill","pasteuria","ambigua","dubia",0
"475","2014","Mill","pasteuria","ambigua","parvula",0
"476","2014","Mill","pasteuria","ambigua","ambigua",0
"477","2014","Mill","pasteuria","ambigua","mendotae",0
"478","2014","Mill","pasteuria","ambigua","ceriodaphnia",0
"479","2014","Mill","pasteuria","ambigua","dentifera",0
"480","2014","Mill","pasteuria","ambigua","retrocurva",0
"481","2014","Mill","pasteuria","mendotae","pulicaria",0
"482","2014","Mill","pasteuria","mendotae","dubia",0
"483","2014","Mill","pasteuria","mendotae","parvula",0
"484","2014","Mill","pasteuria","mendotae","ambigua",0
"485","2014","Mill","pasteuria","mendotae","mendotae",0
"486","2014","Mill","pasteuria","mendotae","ceriodaphnia",0
"487","2014","Mill","pasteuria","mendotae","dentifera",0
